id;id_publication;id_person
1;1;5
2;3;5
3;4;6
4;5;7
5;6;7
6;7;216
7;8;300
8;9;15
9;67;33
10;69;2886
11;68;89
12;75;1509
13;75;1792
14;75;128
15;75;313
16;75;2905
17;75;2906
18;76;331
19;77;355
20;79;208
21;80;37
22;81;66
23;84;416
24;85;37
25;85;1704
26;85;58
27;85;1706
28;85;66
29;85;1816
30;85;1509
31;85;2569
32;85;132
33;85;401
34;85;2907
35;85;248
36;85;208
37;85;219
38;85;236
39;85;268
40;85;269
41;85;1709
42;85;2908
43;85;1826
44;85;1708
45;85;316
46;85;317
47;85;2657
48;85;2909
49;85;331
50;85;404
51;85;353
52;85;1923
53;85;416
54;86;2910
55;87;224
56;95;2474
57;95;87
58;95;2458
59;95;1509
60;95;1390
61;95;150
62;95;1824
63;95;2897
64;95;329
65;95;2919
66;99;394
67;101;68
68;101;361
69;102;400
70;103;2921
71;124;1954
72;125;3072
73;126;150
74;127;3154
75;128;1390
76;139;197
77;139;307
78;139;198
79;139;124
80;139;122
81;139;168
82;139;286
83;140;971
84;140;306
85;140;349
86;147;83
87;151;277
88;152;1809
89;152;1738
90;152;37
91;152;1704
92;152;1798
93;152;51
94;152;58
95;152;1816
96;152;68
97;152;83
98;152;1818
99;152;1792
100;152;128
101;152;2907
102;152;2824
103;152;2894
104;152;559
105;152;208
106;152;237
107;152;245
108;152;268
109;152;1710
110;152;2908
111;152;317
112;152;1763
113;152;331
114;152;361
115;152;3048
116;152;395
117;152;1829
118;152;401
119;152;404
120;152;424
121;152;3381
122;152;3382
123;152;3383
124;152;3384
125;152;1819
126;152;3385
127;152;3386
128;152;3387
129;152;3388
130;152;3389
131;153;5
132;161;3312
133;161;817
134;161;2582
135;161;157
136;161;159
137;161;183
138;161;186
139;161;198
140;161;217
141;161;254
142;161;272
143;161;275
144;161;284
145;161;295
146;161;914
147;161;345
148;161;348
149;161;632
150;161;381
151;161;613
152;161;102
153;161;215
154;161;140
155;161;173
156;161;5
157;161;179
158;161;239
159;161;277
160;161;414
161;161;3440
162;161;3456
163;161;3457
165;164;41
166;164;440
167;164;44
168;164;66
169;164;84
170;164;400
171;164;100
172;164;1291
173;164;146
174;164;1292
175;164;401
176;164;210
177;164;12
178;164;222
179;164;248
180;164;293
181;164;295
182;164;301
183;164;1708
184;164;308
185;164;316
186;164;317
187;164;330
188;164;386
189;164;88
190;164;3626
191;164;3627
192;165;1390
193;166;77
194;166;58
195;166;317
196;166;1708
197;166;1325
198;166;3363
199;166;2934
200;166;323
201;167;52
202;167;104
203;167;2683
204;167;864
205;167;2637
206;167;233
207;167;234
208;167;624
209;167;288
210;167;325
211;167;2726
212;167;634
213;167;627
214;167;2726
215;167;3649
216;167;3650
217;167;3648
218;251;300
219;132;2492
220;132;3158
221;132;3159
222;132;3160
223;132;3161
224;132;89
225;132;3162
226;132;128
227;132;3163
228;132;3164
229;132;3165
230;132;3166
231;132;2894
232;132;2906
233;132;3167
234;132;1780
235;132;2884
236;132;3168
237;132;3169
238;132;3170
239;132;3171
240;132;3172
241;132;3173
242;132;3174
243;132;408
244;14;575
245;72;237
246;72;245
247;72;311
248;351;400
249;460;300
250;495;201
251;973;33
252;974;33
253;1015;300
254;1036;5015
