id,id_exhibition,id_exhibition2,role,ord
1,534,554,0,0
2,534,567,0,0
3,489,557,0,0
4,474,1352,0,0
5,474,1351,0,0
6,474,476,0,0
7,474,475,0,0
8,474,1353,0,0
9,474,477,0,0
10,474,1354,0,0
11,474,704,0,0
12,481,482,0,0
13,897,1360,0,0
14,366,382,0,0
15,366,1361,0,0
16,366,1362,0,0
17,766,1160,0,0
18,407,1374,0,0
19,549,550,0,0
20,681,692,0,0
21,426,432,0,0
22,426,446,0,0
23,426,461,0,0
28,246,760,0,0
30,246,1411,0,0
31,246,1412,0,0
32,246,1413,0,0
33,246,1414,0,0
34,246,1415,0,0
35,246,1416,0,0
36,246,1417,0,0
37,314,761,0,0
38,761,1419,0,0
39,761,931,0,0
40,761,1421,0,0
41,761,1418,0,0
42,761,1420,0,0
43,399,1422,0,0
44,642,801,0,0
45,642,753,0,0
46,642,643,0,0
47,642,644,0,0
48,400,1088,0,0
49,400,421,0,0
50,400,762,0,0
51,400,764,0,0
52,400,763,0,0
53,749,1427,0,0
54,747,758,0,0
55,747,757,0,0
57,749,1428,0,0
58,747,1479,0,0
59,747,758,0,0
60,1047,1489,0,0
61,664,1472,0,0
62,274,1474,0,0
